,i,x_med,y_med,at_med,quality_flag,bathy_conf,sat_flag,sat_check,n_photons,surf_prom,surf_loc,surf_std,decay_param,trans_mult,noise_above,noise_below,bathy_prom,bathy_loc,bathy_std,surf_prom_f,surf_loc_f,surf_std_f,decay_param_f,trans_mult_f,noise_above_f,noise_below_f,bathy_prom_f,bathy_loc_f,bathy_std_f,turb_score
0,0,-75.48998864149429,35.417564096829864,16130629.532623803,3,1.1900589487117859,0,False,1036,143.00122356347669,-0.4196986345704266,0.46235757346629375,-0.01936947700682794,3.079867361800254,0.7269871684649404,1e-31,1.960959545924494,39.03428180488346,0.2082846513937402,,,,,,,,,,,157.74219490853287
1,1,-75.49036331991397,35.415276615182805,16130885.38727284,3,6.312484376961254,0,False,810,33.34781171705519,-2.8573942247886035,1.0295798022899798,-0.0016248679300539357,2.746751629849073,0.47853174708829577,1e-31,27.910186872180102,-1.1744630811861583,0.9451453605809035,,,,,,,,,,,147.31789479299113
2,2,-75.4907159343804,35.413106991632716,16131128.059252596,3,1.1301383694974954,0,False,1242,214.27514135924986,-0.5466588207563368,0.31492441695688733,-0.09148142931861372,2.8228995661574996,0.5210275095447721,1e-31,1.7626873593331236,47.25986984679651,0.3735013388449171,,,,,,,,,,,173.92230187106068
3,3,-75.49110073959369,35.41076938631865,16131389.585159235,3,1.0543260953109173,0,False,844,54.43860206982535,-0.9807585929773317,0.5695156264818684,-0.02690786287181212,2.8304754514954866,0.5205867661778397,1e-31,1.326458220435366,23.752460342156454,0.3177237409743106,,,,,,,,,,,107.85745774519177
4,4,-75.49146404323213,35.408559491913024,16131636.790727966,3,1.0112182730860166,0,False,810,64.77870456792986,-0.901826802044507,0.47459611709452054,-0.02798073524690151,2.8023828094976144,0.7283093985657374,1e-31,1.7160457807649394,49.31331866938729,0.24569588316220245,,,,,,,,,,,136.55471695278024
5,5,-75.49183610940256,35.4062790951794,16131891.869810658,3,1.104782835826486,0,False,865,61.751656678732296,-0.7827682241121138,0.32423827720320086,-0.03796736606988757,2.714053404152844,0.7186791073663084,1e-31,0.5161580962681102,1.3751555999031133,0.04031002708991339,,,,,,,,,,,139.60117140668777
6,6,-75.49220187306948,35.40406649289218,16132139.391910713,3,1.1804560750948276,0,False,895,63.03505371449494,-0.8014237891518063,0.354172420196511,-0.044709696109510456,2.690779816992054,0.9879416666042586,1e-31,1.1444001733935247,18.2175511814758,0.21253412061479748,,,,,,,,,,,134.0949096122222
7,7,-75.49256464899307,35.40186545881261,16132385.634035105,3,1.1046489214961925,0,False,846,75.22155130654532,-0.7236107508903024,0.37929335164504224,-0.0300781481407723,2.839490846145651,0.7269871684649404,1e-31,7.684466673215034,18.000070748515782,0.06779261127488037,,,,,,,,,,,138.2300618703589
8,8,-75.49294384425878,35.39957233900128,16132642.159508184,3,1.1235414298381452,0,False,1002,82.67383052122446,-0.6497035488183825,0.5145561783060718,-0.0156582145608966,2.973436263143878,0.5004407433669325,1e-31,0.9886660563876147,7.7917399173113155,0.21937177495348417,,,,,,,,,,,135.81095714746448
9,9,-75.49328495574765,35.397518959091904,16132871.823184472,3,1.0,0,False,967,111.29700934434953,-0.5957788467722194,0.4851482941256689,-0.03202688495793905,2.976409517428828,0.9136836092007943,1e-31,1.6610370044297607,26.020265863687523,0.16710614075753918,,,,,,,,,,,131.89112675512314
